Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
United States,Sweet potatoes,1994,670.44,71.76,34.43,64714.8
Argentina,Soybeans,2017,777.32,55.8,18.68,28434.9
South Africa,Sorghum,2014,2965.8,12.33,30.07,4690.0
Egypt,Sweet potatoes,2000,2975.52,11.87,14.71,58114.9
Indonesia,Plantains and others,2021,967.65,9.14,14.23,104530.8
Nigeria,Sorghum,1993,1438.75,94.15,29.41,12816.1
Mexico,Soybeans,1997,2022.46,43.07,20.43,17328.9
Germany,Sweet potatoes,1991,1216.24,274.97,23.61,130151.7
Mexico,Wheat,2011,1774.43,163.06,16.56,28014.2
South Africa,Plantains and others,2019,1461.04,75.56,21.04,100497.0
China,Yams,1992,2796.1,18.37,22.38,35767.0
South Africa,Sorghum,2010,460.2,19.86,32.49,9383.5
France,Maize,2005,1619.15,13.68,13.64,28522.5
Egypt,Potatoes,2010,1169.7,18.66,25.25,211790.0
China,Rice,2012,2838.68,108.31,16.21,16575.8
China,Soybeans,2001,2805.67,11.19,33.25,8133.5
South Africa,Rice,2013,1690.95,68.9,15.67,38964.6
Brazil,Soybeans,1991,630.62,17.66,36.89,10836.0
Australia,Potatoes,2014,1810.46,37.63,20.16,167525.6
South Africa,Cassava,1992,2867.83,92.21,29.32,31975.9
Mexico,Potatoes,2010,272.27,12.26,37.04,77307.0
United States,Wheat,2018,495.86,56.2,17.62,42695.7
Germany,Potatoes,2012,625.67,8.17,32.3,94582.6
Japan,Potatoes,2020,2146.1,210.76,18.22,119986.9
France,Rice,1998,2391.55,20.42,16.62,23569.1
Nigeria,Wheat,2006,851.41,17.47,16.52,45567.5
Germany,Wheat,1996,1671.41,37.85,16.6,29948.3
United States,Sweet potatoes,2016,1372.03,83.11,27.14,145408.2
Australia,Sweet potatoes,1994,802.57,5.61,18.27,155876.8
India,Rice,2000,1472.26,98.01,14.55,37238.4
South Africa,Plantains and others,1993,2621.05,18.95,28.94,25025.8
Australia,Cassava,2010,2877.42,12.14,14.66,58341.6
Egypt,Yams,1990,2464.87,8.97,19.26,45001.6
France,Yams,2017,1984.16,58.85,35.27,31756.7
India,Yams,2004,2690.29,34.95,34.94,17183.5
Egypt,Yams,2012,2205.71,8.74,13.85,59530.0
India,Yams,1994,1624.02,29.52,24.01,74271.8
South Africa,Soybeans,2021,392.4,32.61,14.15,16809.9
Argentina,Maize,1997,2353.82,54.0,21.93,19740.7
South Africa,Wheat,2014,1684.85,7.14,37.18,11749.4
China,Soybeans,2001,1528.14,11.05,24.64,21729.5
Canada,Potatoes,1999,1147.15,136.61,17.84,242951.4
Mexico,Sorghum,2003,1430.33,52.46,36.52,7316.8
South Africa,Rice,2010,1000.54,89.63,34.4,32492.4
Germany,Maize,2007,1981.0,17.49,37.44,16450.2
Germany,Sweet potatoes,2021,696.8,44.38,37.6,83665.3
Germany,Cassava,2018,2238.25,10.71,29.82,37931.8
Canada,Cassava,2022,1623.41,22.66,26.69,110287.4
Germany,Sweet potatoes,2014,2331.14,13.72,24.0,63370.3
United States,Plantains and others,2014,1754.24,71.04,28.02,64392.4
Egypt,Potatoes,2002,1708.35,42.13,34.05,80587.1
United States,Sorghum,2009,1115.41,13.06,19.95,23151.4
Brazil,Yams,1993,1279.05,56.55,32.29,41349.6
France,Cassava,2010,281.4,14.13,16.71,109320.1
India,Wheat,1996,1546.72,56.41,13.69,32601.5
Mexico,Wheat,2013,2094.11,86.73,19.02,26643.5
India,Rice,2008,363.94,25.34,32.41,34112.3
Japan,Rice,2019,1118.94,33.46,14.3,37851.8
India,Wheat,2017,2259.86,325.27,36.26,7181.6
China,Wheat,2016,2120.55,241.23,31.43,13394.7
Egypt,Sweet potatoes,2015,1845.75,15.2,21.42,147553.0
France,Rice,2008,926.03,33.08,34.69,27391.6
China,Soybeans,2010,1482.92,37.98,15.47,19294.1
Brazil,Potatoes,1990,2384.6,5.35,13.49,58764.4
Argentina,Sorghum,2009,2039.47,161.88,13.79,12801.9
Brazil,Sweet potatoes,2017,2403.95,189.11,21.65,66269.7
Egypt,Plantains and others,2002,950.79,13.5,34.18,45321.1
France,Sorghum,1993,1082.53,78.89,14.25,17268.7
Mexico,Potatoes,2000,2897.5,46.07,36.36,32138.8
France,Sorghum,2010,918.28,58.09,17.15,20618.0
India,Yams,2008,1064.36,151.91,37.15,45455.2
Nigeria,Sorghum,2011,1771.42,42.05,14.98,20480.2
Germany,Potatoes,2011,1736.75,52.45,17.88,175172.5
United States,Soybeans,2011,2579.93,60.29,24.02,14080.1
Japan,Rice,2011,1013.65,82.32,14.91,36359.4
Argentina,Rice,2021,924.14,14.0,20.59,51527.3
Indonesia,Wheat,2004,773.67,110.12,34.87,16992.9
Mexico,Sorghum,2017,2361.63,6.38,13.7,8286.7
Mexico,Rice,2022,1294.04,85.06,21.67,45121.3
France,Rice,2000,770.55,42.05,19.47,38346.0
China,Sorghum,2010,1074.58,56.46,17.09,20149.0
Indonesia,Wheat,2001,664.9,52.53,21.44,43901.2
Canada,Potatoes,2022,1874.72,6.7,21.46,189082.0
China,Soybeans,2019,1922.83,9.36,34.94,12750.1
India,Sweet potatoes,2010,2230.52,24.51,37.92,33259.7
India,Rice,1993,2214.19,115.48,14.06,21611.5
Brazil,Soybeans,2017,2602.9,90.48,26.06,10516.4
Argentina,Potatoes,1998,1201.84,39.08,33.53,87103.5
France,Plantains and others,2017,2512.74,10.3,18.24,40157.2
Australia,Potatoes,2000,2023.21,53.5,21.16,126500.6
Germany,Soybeans,2000,2562.46,19.65,12.81,6549.4
Mexico,Rice,2017,2108.67,14.14,29.04,36785.9
Mexico,Maize,2012,415.82,25.8,34.53,32139.5
Brazil,Soybeans,2003,2730.1,18.25,32.99,6912.5
Brazil,Potatoes,2022,2647.83,5.01,16.4,71686.9
France,Wheat,1997,560.78,31.62,32.86,12641.0
India,Wheat,2014,1380.04,6.38,37.12,15007.5
Brazil,Rice,2008,2453.74,5.91,37.03,10912.9
Canada,Sorghum,2008,2643.71,10.97,30.3,5347.1
India,Sorghum,2014,2508.7,8.86,17.89,8895.6
China,Sorghum,1993,2656.27,109.89,20.59,7622.7
South Africa,Maize,2001,1831.86,274.49,34.25,30866.1
France,Soybeans,2009,816.63,38.51,31.18,23213.7
India,Rice,2023,2661.14,47.41,25.45,22763.9
Germany,Yams,2001,1500.41,12.4,20.86,92330.2
Brazil,Soybeans,2009,2408.65,56.03,29.59,9550.3
Indonesia,Wheat,2001,1565.47,57.81,36.71,16417.0
Mexico,Maize,2012,1339.52,116.04,12.08,31983.8
Australia,Cassava,2016,592.07,21.2,37.26,56834.2
South Africa,Yams,2009,779.58,41.34,12.14,78612.3
South Africa,Maize,1997,302.82,10.72,20.81,41066.5
Canada,Plantains and others,1998,2486.71,21.74,33.27,18484.3
Brazil,Soybeans,2002,2091.18,7.29,23.72,15754.9
Mexico,Yams,2001,2088.9,22.6,30.68,33972.1
France,Plantains and others,1997,2616.07,5.11,30.66,20380.9
South Africa,Wheat,2022,1477.46,28.03,15.15,36032.4
China,Yams,2022,1331.87,24.36,31.5,65707.0
United States,Plantains and others,2000,1876.34,39.87,15.61,65890.9
Egypt,Sorghum,2017,681.18,55.79,31.27,16287.0
United States,Yams,2006,2145.67,43.02,23.67,61606.7
Japan,Sweet potatoes,2004,322.47,11.56,26.52,120778.7
Indonesia,Sorghum,2017,1284.7,100.47,22.5,23109.1
Egypt,Sweet potatoes,2019,1449.97,85.07,33.38,67598.3
Canada,Plantains and others,2022,1672.28,40.84,16.31,94921.5
China,Sweet potatoes,1990,1168.46,13.39,12.66,125954.2
India,Maize,1994,1687.04,97.17,27.09,44744.3
India,Cassava,2020,2127.17,12.57,24.63,70521.4
Australia,Wheat,2016,784.82,134.94,22.77,41597.7
United States,Rice,1995,2317.4,35.67,19.52,28920.6
Indonesia,Sweet potatoes,1993,2985.6,44.41,14.29,65832.8
India,Wheat,2021,1153.08,43.98,16.01,46629.6
France,Cassava,2012,1433.24,23.0,18.74,142834.4
Australia,Rice,2010,1158.85,20.75,37.13,22168.2
Japan,Yams,2002,1953.46,38.56,22.45,68967.9
Brazil,Maize,2007,1945.54,47.13,28.14,30682.6
India,Soybeans,2008,570.64,49.95,27.58,24721.2
Japan,Cassava,2001,306.35,73.49,26.28,90002.3
South Africa,Sorghum,2001,2914.9,153.91,25.34,6938.2
Indonesia,Wheat,2000,769.02,76.73,22.05,33925.6
India,Potatoes,2003,1476.74,34.3,27.66,185261.1
Nigeria,Wheat,1998,366.52,5.16,28.65,22972.4
Brazil,Cassava,1994,1629.21,54.25,36.09,35019.0
Indonesia,Potatoes,2018,285.54,107.81,25.71,232435.0
Egypt,Potatoes,2013,2252.54,42.6,32.63,58305.2
Brazil,Rice,1997,2985.02,9.71,12.06,9439.9
India,Soybeans,2004,599.98,75.01,31.99,22204.2
Argentina,Sorghum,1990,2568.58,52.54,14.3,6780.0
South Africa,Wheat,2020,384.83,26.45,14.89,34435.4
Japan,Potatoes,2008,1663.21,22.8,14.0,168266.0
Germany,Cassava,1991,404.13,30.78,19.68,109241.9
Nigeria,Potatoes,1992,2449.75,137.41,22.53,83152.1
Nigeria,Soybeans,1990,1737.15,17.38,12.88,14364.9
France,Rice,2008,2013.89,11.56,35.11,18530.4
China,Plantains and others,1997,1753.04,55.68,25.68,60454.1
Germany,Potatoes,2013,1011.92,46.42,15.12,222055.2
Argentina,Sweet potatoes,2003,2669.58,91.8,30.76,40914.9
Germany,Sorghum,2004,487.7,15.48,32.36,9752.9
Nigeria,Maize,2013,2550.15,5.19,18.42,24284.3
Japan,Sorghum,2017,485.3,27.33,19.03,19233.7
United States,Wheat,2004,2840.35,32.44,21.81,16834.8
Germany,Yams,2006,2123.65,39.04,22.08,68422.4
Argentina,Plantains and others,2012,911.85,109.18,16.75,116204.4
Germany,Yams,2000,2862.16,65.62,19.75,45184.9
Australia,Soybeans,2006,1208.14,162.1,25.01,30194.6
Brazil,Sorghum,2007,1976.39,78.65,12.07,11036.4
Japan,Soybeans,2020,2215.03,28.19,34.61,9378.8
Mexico,Cassava,2011,804.07,61.63,27.8,97136.1
China,Sweet potatoes,2007,2263.87,188.63,13.36,62097.2
Indonesia,Yams,1990,2692.6,21.94,21.56,38035.6
Australia,Soybeans,2002,1261.46,25.58,12.5,17328.5
South Africa,Wheat,1999,287.98,71.63,20.59,30204.1
China,Sorghum,2015,2097.12,23.69,32.12,5914.7
Mexico,Maize,2017,2932.84,11.71,12.44,13924.9
France,Potatoes,1995,1419.42,25.18,20.89,183048.1
Australia,Sweet potatoes,1996,1174.67,28.24,12.04,149191.8
China,Sweet potatoes,1998,1731.5,93.53,27.76,80509.3
Mexico,Yams,2011,626.52,119.86,30.46,70983.4
Germany,Sweet potatoes,2015,1830.18,236.31,18.22,146143.1
China,Yams,2000,2895.75,8.93,21.51,35735.8
Egypt,Plantains and others,2015,2572.14,23.93,19.18,47463.7
Mexico,Soybeans,1993,1286.86,61.06,18.76,23763.7
Indonesia,Yams,2020,2181.62,8.21,15.83,65861.8
China,Soybeans,2000,324.78,31.86,19.85,20211.3
France,Plantains and others,1994,1938.54,137.02,31.78,35646.1
South Africa,Plantains and others,2002,1484.07,46.15,34.46,36332.8
India,Maize,2000,2420.8,101.13,18.29,19170.6
Egypt,Cassava,2005,1982.31,39.48,22.57,95310.4
Egypt,Soybeans,2007,1861.97,8.79,28.18,23360.6
Indonesia,Plantains and others,1993,2522.3,70.86,21.23,39098.1
United States,Potatoes,1997,652.68,37.4,30.68,141167.6
Canada,Maize,2006,655.56,46.63,32.06,46003.5
China,Plantains and others,2017,2793.34,17.98,28.49,28754.1
Australia,Yams,1991,1641.11,87.58,18.6,88647.3
China,Plantains and others,1998,630.66,235.69,36.83,31766.6
Egypt,Maize,2018,1548.34,55.45,14.36,37405.4
United States,Maize,2018,1779.41,27.2,29.07,42517.2
India,Potatoes,2015,2771.07,10.37,25.15,76805.4
France,Wheat,2000,1777.31,32.89,20.48,28791.8
Brazil,Rice,1996,2703.46,151.36,35.21,12274.1
China,Plantains and others,2004,1724.62,16.44,18.64,69214.6
Nigeria,Rice,2017,1980.92,27.66,19.68,45315.2
Canada,Yams,2023,2366.94,26.74,33.44,24122.5
Egypt,Potatoes,2012,327.13,22.13,36.21,100188.9
Egypt,Sorghum,1995,352.98,185.74,17.88,17970.3
France,Cassava,2009,845.17,5.07,30.96,78331.1
Japan,Soybeans,2012,1906.97,118.19,33.27,15518.3
South Africa,Rice,2005,2311.9,29.98,27.36,27179.6
Australia,Plantains and others,2021,668.5,80.85,27.18,98409.2
Indonesia,Plantains and others,2006,1884.35,22.59,30.58,46813.8
Argentina,Maize,2014,681.85,184.53,23.67,60023.5
Mexico,Potatoes,2004,2200.11,35.97,35.95,44441.2
India,Sorghum,2023,2459.8,15.86,20.98,10117.7
China,Cassava,1992,532.85,77.35,29.45,80620.0
Brazil,Maize,2015,656.5,82.14,31.1,36935.3
India,Potatoes,2008,2390.08,11.64,32.74,40355.8
China,Sweet potatoes,2013,2173.64,89.95,26.21,73348.0
Mexico,Maize,2008,1402.87,23.47,24.54,50361.1
China,Sorghum,2020,1067.41,22.13,34.66,8277.1
